lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature
121.516603,12.379388,602,612,71.587371,38.573542,0.401771,48.764612,0.264829,0.302135,-1.658302,2.002264,1.658315,2.002279,,565.448899,18,1345.115776,continental
121.678001,11.904937,677,612,71.621320,72.621542,0.918175,50.871330,0.579427,0.712257,-1.655360,2.002257,1.655378,2.002279,25.872873,509.851357,19,177.469960,continental
121.838838,11.430395,677,612,71.653847,55.597542,0.884285,53.659671,0.524010,0.712302,-1.652260,2.002212,1.652315,2.002279,15.780693,454.253816,19,177.469960,continental
121.999136,10.955766,677,612,71.684963,49.250877,0.852548,56.665314,0.468500,0.712283,-1.649087,2.002231,1.649127,2.002279,,398.656274,19,177.469960,continental
122.114492,10.472450,646,612,86.002486,61.944207,2.117999,41.959462,1.574982,1.416104,-2.089188,1.533545,2.089232,1.533577,,343.058732,37,809.046920,continental
122.149883,9.973664,646,612,86.008767,55.597542,2.068126,43.214592,1.507238,1.416114,-2.085707,1.533536,2.085763,1.533577,6.067217,287.461190,37,809.046920,continental
122.281435,9.501980,646,612,62.121948,55.597542,2.030393,68.651052,0.739159,1.891069,-1.281760,2.246484,1.281795,2.246546,9.748010,231.863648,37,809.046920,continental
122.518182,9.059929,646,612,62.160130,55.597542,2.006665,70.457816,0.671231,1.891072,-1.278032,2.246481,1.278069,2.246546,16.025240,176.266106,37,809.046920,continental
122.815728,8.662918,646,612,44.453145,70.485291,-1.995091,90.105362,-0.003669,1.995088,-0.528486,2.528636,0.528494,2.528672,,120.668564,37,809.046920,continental
123.176427,8.312588,645,612,44.506384,40.709793,0.001209,-44.846235,0.000858,-0.000853,-0.524627,2.528658,0.524630,2.528672,,65.071022,20,77.982044,continental
123.527067,7.953101,645,612,48.543872,37.272252,0.001259,-47.031839,0.000858,-0.000921,-0.695315,2.486230,0.695316,2.486236,,9.473481,20,77.982044,continental
149.319783,-0.738378,847,689,81.480871,27.798771,-9.778645,146.171532,-8.123198,5.443854,-1.643871,-7.798190,1.643871,-7.798190,,0.000000,21,27.798771,continental
149.245714,-0.243894,653,689,81.481506,55.597542,0.000412,-79.408333,0.000076,-0.000405,-1.478211,-7.797785,1.478286,-7.798190,36.782009,55.597542,22,694.233194,oceanic
149.171649,0.250590,653,689,81.481502,55.597542,0.000219,-79.800877,0.000039,-0.000216,-1.312550,-7.797974,1.312589,-7.798190,35.988701,111.195084,22,694.233194,oceanic
149.020025,0.723139,653,689,66.932954,55.597542,0.000285,-67.356472,0.000110,-0.000263,-3.065225,-7.233369,3.065335,-7.233632,35.447964,166.792626,22,694.233194,oceanic
148.824081,1.183158,653,689,66.929694,55.597542,0.000244,-67.730895,0.000092,-0.000226,-2.899192,-7.233406,2.899285,-7.233632,34.770565,222.390167,22,694.233194,oceanic
