time_Ma,segment,geo_ups,geo_zone,n_samples,n_age,median_age_Ma,median_width_km,median_edge_km,median_lon,median_lat,is_E,is_C,age_ge_55,edge_near
16.0,Izu-Bonin,E,Shikoku_Basin,23,23,83.406769,10299.088316,985.440184,142.44635,29.744467,1,0,1.0,1
16.0,Japan,E,Japan_Sea_opening,7,7,75.507256,10299.088316,500.377877,140.284169,40.243546,1,0,1.0,1
16.0,Mariana,E,Parece_Vela_Basin,35,35,104.398621,10299.088316,475.675087,147.315753,16.295469,1,0,1.0,1
16.0,Scotia,E,East_Scotia_Ridge,15,15,91.302208,820.988609,209.415649,-35.855198,-57.449663,1,0,1.0,1
17.0,Andes,C,Central_Andes_shortening,45,45,75.088974,7818.612276,1509.157243,-72.090314,-20.827757,0,1,1.0,0
17.0,Cascadia,N,Cascadia_no_backarc,25,18,8.1425235,1739.927333,516.781412,-122.082901,47.364081,0,0,0.0,1
17.0,Hellenic,E,Aegean_rifting,21,20,206.222107,5639.866723,498.219958,24.57529,33.2394,1,0,1.0,1
17.0,Izu-Bonin,E,Shikoku_Basin,23,23,75.925056,10291.717823,1116.625118,142.691399,29.469901,1,0,1.0,1
17.0,Japan,E,Japan_Sea_opening,7,7,59.156734,10291.717823,393.857074,140.255124,36.656632,1,0,1.0,1
17.0,Mariana,E,Parece_Vela_Basin,34,34,108.0106815,10291.717823,460.4070355,147.2877875,16.1986545,1,0,1.0,1
18.0,Andes,C,Central_Andes_shortening,45,45,76.893806,7772.730186,1502.174851,-72.002246,-20.984794,0,1,1.0,0
18.0,Cascadia,N,Cascadia_no_backarc,25,18,8.291848000000002,1988.784401,478.069524,-121.881923,47.425967,0,0,0.0,1
18.0,Hellenic,E,Aegean_rifting,21,20,206.181824,5528.738636,494.511632,24.333536,33.099056,1,0,1.0,1
18.0,Izu-Bonin,E,Shikoku_Basin,23,23,67.409004,10282.96007,1203.212,142.858866,29.65015,1,0,1.0,0
18.0,Japan,E,Japan_Sea_opening,6,6,55.795286000000004,10282.96007,397.0476435,140.60592400000002,36.6302665,1,0,1.0,1
18.0,Mariana,E,Parece_Vela_Basin,35,35,98.260612,10282.96007,459.998373,147.35123,16.083994,1,0,1.0,1
19.0,Andes,C,Central_Andes_shortening,45,45,76.23365,7688.967157,1501.13363,-71.915011,-21.140786,0,1,1.0,0
19.0,Cascadia,N,Cascadia_no_backarc,24,18,8.2808985,1988.176193,509.015377,-121.7253235,47.566849500000004,0,0,0.0,1
19.0,Hellenic,E,Aegean_rifting,21,20,204.1536635,5425.165706,435.771136,24.680186,32.952391,1,0,1.0,1
19.0,Izu-Bonin,E,Shikoku_Basin,23,23,56.073864,10396.057555,1112.588884,142.555516,29.38425,1,0,1.0,1
19.0,Japan,E,Japan_Sea_opening,4,4,47.6453895,10396.057555,473.217152,140.41109949999998,35.863597,1,0,0.0,1
